"Turbulent Kinetic Energy (J/kg)","Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
1.2460347414016724,0.25474769144009812,0.20800000429153442,0.078,0
1.1600191593170166,2.135093610366126,0.20787000424861907,0.078,0
1.6154897212982178,3.0398365275505017,0.20774000420570374,0.078,0
1.8032805919647217,3.3978800904666757,0.20761000416278838,0.078,0
2.0191185474395752,3.7726909321732358,0.20748000411987305,0.078,0
2.1213870048522949,3.9308759376410145,0.20735000407695769,0.078,0
2.2740187644958496,4.1451841568686616,0.20722000403404237,0.078,0
2.3773725032806396,4.2770056957243874,0.20709000399112701,0.078,0
2.4833793640136719,4.4020267919329887,0.20696000394821168,0.078,0
2.5931160449981689,4.5208934683090147,0.20683000390529632,0.078,0
2.6497178077697754,4.5779278518916096,0.20670000386238099,0.078,0
2.7670726776123047,4.6863135574760344,0.20657000381946564,0.078,0
2.8281030654907227,4.7370308177500595,0.20644000377655031,0.078,0
2.9555332660675049,4.8291321253400037,0.20631000373363495,0.078,0
3.022162914276123,4.8692230124392575,0.20618000369071959,0.078,0
3.0908453464508057,4.9042873226055308,0.20605000364780426,0.078,0
3.1616091728210449,4.933405116994706,0.20592000360488891,0.078,0
3.2344167232513428,4.9555666889795349,0.20579000356197358,0.078,0
3.3091416358947754,4.9696997695792176,0.20566000351905822,0.078,0
3.3855404853820801,4.9747000362047142,0.20553000347614289,0.078,0
3.4632406234741211,4.9694973152381916,0.20540000343322753,0.078,0
3.5417051315307617,4.9531124271330542,0.20527000339031221,0.078,0
3.6202034950256348,4.9247516322999498,0.20514000334739685,0.078,0
3.6978039741516113,4.883830560420944,0.20501000330448152,0.078,0
3.6978039741516113,4.883830560420944,0.20488000326156616,0.078,0
3.773374080657959,4.8299721567355549,0.20475000321865083,0.078,0
3.8455872535705566,4.7630599570166972,0.20462000317573548,0.078,0
3.8455872535705566,4.7630599570166972,0.20449000313282012,0.078,0
3.9129476547241211,4.6833069973844417,0.20436000308990479,0.078,0
3.973858118057251,4.5916903103153297,0.20423000304698943,0.078,0
3.973858118057251,4.5916903103153297,0.2041000030040741,0.078,0
4.0266094207763672,4.4879525010444707,0.20397000296115875,0.078,0
4.0692458152770996,4.3702362740475573,0.20384000291824342,0.078,0
4.0692458152770996,4.3702362740475573,0.20371000287532806,0.078,0
4.0995035171508789,4.2371470755719862,0.20358000283241273,0.078,0
4.0995035171508789,4.2371470755719862,0.20345000278949738,0.078,0
4.1148719787597656,4.0879783519192454,0.20332000274658205,0.078,0
4.1148719787597656,4.0879783519192454,0.20319000270366669,0.078,0
4.1127109527587891,3.9227955341360974,0.20306000266075133,0.078,0
4.1127109527587891,3.9227955341360974,0.202930002617836,0.078,0
4.0903987884521484,3.7423535173466869,0.20280000257492065,0.078,0
4.0903987884521484,3.7423535173466869,0.20267000253200532,0.078,0
4.0454912185668945,3.5479088148419016,0.20254000248908996,0.078,0
4.0454912185668945,3.5479088148419016,0.20241000244617463,0.078,0
4.0454912185668945,3.5479088148419016,0.20228000240325927,0.078,0
3.9758799076080322,3.3409876639848091,0.20215000236034394,0.078,0
3.9758799076080322,3.3409876639848091,0.20202000231742859,0.078,0
3.879889965057373,3.1232092396517448,0.20189000227451326,0.078,0
3.879889965057373,3.1232092396517448,0.2017600022315979,0.078,0
3.879889965057373,3.1232092396517448,0.20163000218868257,0.078,0
3.7563743591308594,2.8961746789716365,0.20150000214576722,0.078,0
3.7563743591308594,2.8961746789716365,0.20137000210285186,0.078,0
3.604792594909668,2.6614390864986301,0.20124000205993653,0.078,0
3.604792594909668,2.6614390864986301,0.20111000201702117,0.078,0
3.604792594909668,2.6614390864986301,0.20098000197410584,0.078,0
3.4251976013183594,2.4205386356291543,0.20085000193119049,0.078,0
3.4251976013183594,2.4205386356291543,0.20072000188827516,0.078,0
3.4251976013183594,2.4205386356291543,0.2005900018453598,0.078,0
3.2183041572570801,2.1750851781035045,0.20046000180244447,0.078,0
3.2183041572570801,2.1750851781035045,0.20033000175952911,0.078,0
3.2183041572570801,2.1750851781035045,0.20020000171661378,0.078,0
2.9855422973632812,1.926961968591981,0.20007000167369843,0.078,0
2.9855422973632812,1.926961968591981,0.19994000163078307,0.078,0
2.9855422973632812,1.926961968591981,0.19981000158786774,0.078,0
2.7291607856750488,1.678572388302888,0.19968000154495238,0.078,0
2.7291607856750488,1.678572388302888,0.19955000150203706,0.078,0
2.7291607856750488,1.678572388302888,0.1994200014591217,0.078,0
2.7291607856750488,1.678572388302888,0.19929000141620637,0.078,0
2.452237606048584,1.4327983529997266,0.19916000137329101,0.078,0
2.452237606048584,1.4327983529997266,0.19903000133037568,0.078,0
2.452237606048584,1.4327983529997266,0.19890000128746033,0.078,0
2.1586837768554688,1.1926375720792934,0.198770001244545,0.078,0
2.1586837768554688,1.1926375720792934,0.19864000120162964,0.078,0
2.1586837768554688,1.1926375720792934,0.19851000115871431,0.078,0
2.1586837768554688,1.1926375720792934,0.19838000111579895,0.078,0
1.8532192707061768,0.96176918688278334,0.1982500010728836,0.078,0
1.8532192707061768,0.96176918688278334,0.19812000102996827,0.078,0
1.8532192707061768,0.96176918688278334,0.19799000098705291,0.078,0
1.8532192707061768,0.96176918688278334,0.19786000094413758,0.078,0
1.5409543514251709,0.74622998910283045,0.19773000090122222,0.078,0
1.5409543514251709,0.74622998910283045,0.1976000008583069,0.078,0
1.5409543514251709,0.74622998910283045,0.19747000081539154,0.078,0
1.5409543514251709,0.74622998910283045,0.19734000077247621,0.078,0
1.2279748916625977,0.55773807537758846,0.19721000072956085,0.078,0
1.2279748916625977,0.55773807537758846,0.19708000068664552,0.078,0
1.2279748916625977,0.55773807537758846,0.19695000064373017,0.078,0
1.2279748916625977,0.55773807537758846,0.19682000060081484,0.078,0
0.92179650068283081,0.42079829247333245,0.19669000055789948,0.078,0
0.92179650068283081,0.42079829247333245,0.19656000051498412,0.078,0
0.92179650068283081,0.42079829247333245,0.19643000047206879,0.078,0
0.92179650068283081,0.42079829247333245,0.19630000042915344,0.078,0
0.92179650068283081,0.42079829247333245,0.19617000038623811,0.078,0
0.62856781482696533,0.37348362100026467,0.19604000034332275,0.078,0
0.62856781482696533,0.37348362100026467,0.19591000030040742,0.078,0
0.62856781482696533,0.37348362100026467,0.19578000025749207,0.078,0
0.62856781482696533,0.37348362100026467,0.19565000021457674,0.078,0
0.62856781482696533,0.37348362100026467,0.19552000017166138,0.078,0
0.35852372646331787,0.41945452038867292,0.19539000012874605,0.078,0
0.35852372646331787,0.41945452038867292,0.19526000008583069,0.078,0
0.35852372646331787,0.41945452038867292,0.19513000004291536,0.078,0
0.35852372646331787,0.41945452038867292,0.19500000000000001,0.078,0
