"Heat Transfer Coefficient (W/m^2-K)","X (m)","Y (m)","Z (m)"
156.09500122070312,0.20799999999999999,0.029338506464500001,0
159.32249450683594,0.20799999999999999,0.028712649708500002,0
162.60374450683594,0.20799999999999999,0.02810502179,0
165.93374633789062,0.20799999999999999,0.027515091772000001,0
169.30125427246094,0.20799999999999999,0.026942344181999998,0
172.70625305175781,0.20799999999999999,0.0263862785605,0
176.13999938964844,0.20799999999999999,0.025846409025000003,0
179.59625244140625,0.20799999999999999,0.025322263845000002,0
183.06500244140625,0.20799999999999999,0.0248133850295,0
186.54374694824219,0.20799999999999999,0.024319327926999999,0
190.01750183105469,0.20799999999999999,0.023839660837000003,0
193.47999572753906,0.20799999999999999,0.023373964633,0
196.92500305175781,0.20799999999999999,0.022921832396499999,0
200.33250427246094,0.20799999999999999,0.022482869060000001,0
203.70500183105469,0.20799999999999999,0.0220566910635,0
207.03875732421875,0.20799999999999999,0.0216429260185,0
210.32124328613281,0.20799999999999999,0.021241212382,0
213.54124450683594,0.20799999999999999,0.020851199143000002,0
216.69624328613281,0.20799999999999999,0.020472545512999998,0
219.78125,0.20799999999999999,0.020104920629,0
222.79499816894531,0.20799999999999999,0.019748003266,0
225.72749328613281,0.20799999999999999,0.019401481554999999,0
228.56500244140625,0.20799999999999999,0.019065052709,0
231.31375122070312,0.20799999999999999,0.018738422761,0
373.12374877929688,0.20799999999999999,0.00049673982546500001,0
233.97749328613281,0.20799999999999999,0.0184213063075,0
359.35125732421875,0.20799999999999999,0.001466565199015,0
236.55375671386719,0.20799999999999999,0.018113426255499998,0
342.5262451171875,0.20799999999999999,0.0023902084118999998,0
239.04249572753906,0.20799999999999999,0.017814513583,0
331.64999389648438,0.20799999999999999,0.0032698686146499997,0
241.44000244140625,0.20799999999999999,0.017524307104999998,0
322.1300048828125,0.20799999999999999,0.0041076402362999996,0
243.74749755859375,0.20799999999999999,0.017242553242999999,0
315.44876098632812,0.20799999999999999,0.0049055179712000005,0
245.96749877929688,0.20799999999999999,0.016969005804000001,0
310.27249145507812,0.20799999999999999,0.0056654015282999997,0
248.0987548828125,0.20799999999999999,0.0167034257665,0
306.2862548828125,0.20799999999999999,0.0063891001540500002,0
250.14874267578125,0.20799999999999999,0.01644558107,0
303.0474853515625,0.20799999999999999,0.0070783369405000001,0
252.12124633789062,0.20799999999999999,0.016195246412500003,0
300.26873779296875,0.20799999999999999,0.0077347529276000004,0
253.99374389648438,0.20799999999999999,0.015952203056000001,0
297.771240234375,0.20799999999999999,0.0083599110105499995,0
255.73750305175781,0.20799999999999999,0.015716238632499997,0
295.40374755859375,0.20799999999999999,0.0089552996610000012,0
257.9837646484375,0.20799999999999999,0.0154375,0
293.07376098632812,0.20799999999999999,0.0095223364709000006,0
260.1099853515625,0.20799999999999999,0.015112500000000001,0
290.72750854492188,0.20799999999999999,0.0100623715279,0
262.79501342773438,0.20799999999999999,0.0147875,0
288.3275146484375,0.20799999999999999,0.01057669063,0
264.98126220703125,0.20799999999999999,0.0144625,0
285.89248657226562,0.20799999999999999,0.0110665183465,0
267.28250122070312,0.20799999999999999,0.014137500000000001,0
283.39373779296875,0.20799999999999999,0.011533020933,0
269.50875854492188,0.20799999999999999,0.0138125,0
281.0787353515625,0.20799999999999999,0.0119773091105,0
271.68499755859375,0.20799999999999999,0.013487499999999999,0
278.25625610351562,0.20799999999999999,0.012400440709,0
273.75,0.20799999999999999,0.013162500000000001,0
276.23126220703125,0.20799999999999999,0.012803423183499999,0
152.92750549316406,0.20799999999999999,0.029983138923499998,0
149.82749938964844,0.20799999999999999,0.030647110355999999,0
146.79875183105469,0.20799999999999999,0.031331000931000004,0
143.85499572753906,0.20799999999999999,0.032035408223499998,0
141,0.20799999999999999,0.032760947735000004,0
138.2449951171875,0.20799999999999999,0.033508253432,0
135.59500122070312,0.20799999999999999,0.034277978299999998,0
133.06124877929688,0.20799999999999999,0.0350707949135,0
130.65374755859375,0.20799999999999999,0.0358873960255,0
128.37249755859375,0.20799999999999999,0.036728495170999999,0
126.21875,0.20799999999999999,0.037594827290999999,0
124.19625091552734,0.20799999999999999,0.038487149374499999,0
122.29750061035156,0.20799999999999999,0.0394062411205,0
120.51249694824219,0.20799999999999999,0.040352905618999999,0
118.82375335693359,0.20799999999999999,0.041327970052,0
117.21375274658203,0.20799999999999999,0.042332286417999999,0
115.65750122070312,0.20799999999999999,0.043366732275500003,0
114.12750244140625,0.20799999999999999,0.044432211508499998,0
112.60375213623047,0.20799999999999999,0.045529655118500004,0
111.06124877929688,0.20799999999999999,0.046660022036999996,0
109.48249816894531,0.20799999999999999,0.047824299962499997,0
107.84750366210938,0.20799999999999999,0.049023506225999998,0
106.15125274658203,0.20799999999999999,0.050258688677499996,0
104.38249969482422,0.20799999999999999,0.051530926602499999,0
102.54750061035156,0.20799999999999999,0.052841331665499994,0
100.64125061035156,0.20799999999999999,0.054191048879999995,0
98.669998168945312,0.20799999999999999,0.055581257610999996,0
96.638748168945312,0.20799999999999999,0.0570131726045,0
94.557502746582031,0.20799999999999999,0.058488045047499999,0
92.430000305175781,0.20799999999999999,0.0600071636635,0
90.267501831054688,0.20799999999999999,0.061571855837999998,0
88.076248168945312,0.20799999999999999,0.063183488777999994,0
85.87249755859375,0.20799999999999999,0.064843470705999995,0
83.65875244140625,0.20799999999999999,0.066553252091999998,0
81.443748474121094,0.20799999999999999,0.068314326919499999,0
79.237503051757812,0.20799999999999999,0.070128233991500005,0
77.044998168945312,0.20799999999999999,0.071996558276000003,0
