"Line Probe 3: Position[X] (m)","Line Probe 3: Turbulent Kinetic Energy (J/kg)"
0.2059200036048889,3.330927848815918
0.20579000356197358,3.5855960845947266
0.20566000351905822,3.8268706798553467
0.2055300034761429,4.048489570617676
0.20540000343322753,4.244893550872803
0.2052700033903122,4.4097819328308105
0.20514000334739685,4.5378828048706055
0.20501000330448152,4.624322414398193
0.20488000326156616,4.624322414398193
0.20475000321865083,4.664978981018066
0.20462000317573548,4.656678676605225
0.20449000313282012,4.656678676605225
0.2043600030899048,4.5974225997924805
0.20423000304698943,4.487511157989502
0.2041000030040741,4.487511157989502
0.20397000296115875,4.326837062835693
0.20384000291824342,4.1188883781433105
0.20371000287532806,4.1188883781433105
0.20358000283241273,3.8682162761688232
0.20345000278949738,3.8682162761688232
0.20332000274658205,3.5808422565460205
0.2031900027036667,3.5808422565460205
0.20306000266075133,3.263847827911377
0.202930002617836,3.263847827911377
0.20280000257492065,2.9246912002563477
0.20267000253200532,2.9246912002563477
0.20254000248908996,2.5706753730773926
0.20241000244617463,2.5706753730773926
0.20228000240325927,2.5706753730773926
0.20215000236034394,2.208950996398926
0.2020200023174286,2.208950996398926
0.20189000227451326,1.8462777137756348
0.2017600022315979,1.8462777137756348
0.20163000218868257,1.8462777137756348
0.20150000214576722,1.488714337348938
0.20137000210285186,1.488714337348938
0.20124000205993653,1.1415878534317017
0.20111000201702117,1.1415878534317017
0.20098000197410584,1.1415878534317017
0.20085000193119049,0.8094504475593567
0.20072000188827516,0.8094504475593567
0.2005900018453598,0.8094504475593567
0.20046000180244447,0.4979590177536011
0.2003300017595291,0.4979590177536011
0.20020000171661378,0.4979590177536011
0.20007000167369843,0.22592608630657196
0.19994000163078307,0.22592608630657196
0.19981000158786774,0.22592608630657196
0.19968000154495238,0.052274540066719055
0.19955000150203706,0.052274540066719055
0.1994200014591217,0.052274540066719055
0.19929000141620637,0.052274540066719055
0.199160001373291,0.006969038862735033
0.19903000133037568,0.006969038862735033
0.19890000128746033,0.006969038862735033
0.198770001244545,0.0017287139780819416
0.19864000120162964,0.0017287139780819416
0.1985100011587143,0.0017287139780819416
0.19838000111579895,0.0017287139780819416
0.1982500010728836,0.0013334904797375202
0.19812000102996827,0.0013334904797375202
0.1979900009870529,0.0013334904797375202
0.19786000094413758,0.0013334904797375202
0.19773000090122222,0.00130556826479733
0.1976000008583069,0.00130556826479733
0.19747000081539154,0.00130556826479733
0.1973400007724762,0.00130556826479733
0.19721000072956085,0.0012943076435476542
0.19708000068664552,0.0012943076435476542
0.19695000064373017,0.0012943076435476542
0.19682000060081484,0.0012943076435476542
0.19669000055789948,0.0012786792358383536
0.19656000051498412,0.0012786792358383536
0.1964300004720688,0.0012786792358383536
0.19630000042915344,0.0012786792358383536
0.1961700003862381,0.0012786792358383536
0.19604000034332275,0.001261807163245976
0.19591000030040742,0.001261807163245976
0.19578000025749207,0.001261807163245976
0.19565000021457674,0.001261807163245976
0.19552000017166138,0.001261807163245976
0.19539000012874605,0.0012452605878934264
0.1952600000858307,0.0012452605878934264
0.19513000004291536,0.0012452605878934264
0.195,0.0012452605878934264
0.20800000429153442,0.015392974019050598
0.20787000424861907,0.944035530090332
0.20774000420570374,0.8319527506828308
0.20761000416278838,0.614651083946228
0.20748000411987305,0.5395275354385376
0.2073500040769577,0.5537930727005005
0.20722000403404237,0.6523072123527527
0.207090003991127,0.7924456000328064
0.20696000394821168,1.003307580947876
0.20683000390529632,1.2869032621383667
0.206700003862381,1.4558554887771606
0.20657000381946564,1.846394419670105
0.2064400037765503,2.066601037979126
0.20631000373363495,2.5496296882629395
0.2061800036907196,2.8069584369659424
0.20605000364780426,3.069279193878174
